date,oil_price,open,max,min,Объём,change_percent
"30.06.2004","317,75","306,50","320,00","306,00","15,95K","3,50%"
"29.06.2004","307,00","303,50","309,75","302,75","9,28K","0,41%"
"28.06.2004","305,75","313,00","313,00","305,50","11,50K","-3,01%"
"25.06.2004","315,25","316,50","317,00","314,00","5,93K","-0,39%"
"24.06.2004","316,50","311,25","320,00","311,00","9,26K","2,34%"
"23.06.2004","309,25","315,00","317,25","308,75","5,00K","-0,64%"
"22.06.2004","311,25","312,25","314,75","309,00","4,86K","-1,03%"
"21.06.2004","314,50","317,00","322,00","310,50","5,29K","-0,79%"
"18.06.2004","317,00","314,25","322,00","314,25","7,39K","0,56%"
"17.06.2004","315,25","310,50","317,75","310,25","9,50K","2,85%"
"16.06.2004","306,50","310,00","312,00","306,25","10,27K","0,08%"
"15.06.2004","306,25","309,00","318,75","304,75","10,85K","-1,61%"
"14.06.2004","311,25","310,25","313,75","309,50","8,68K","0,08%"
"11.06.2004","311,00","314,00","315,50","311,00","4,20K","-1,82%"
"10.06.2004","316,75","307,75","319,50","306,75","23,39K","3,18%"
"09.06.2004","307,00","301,50","309,00","299,00","25,13K","-0,32%"
"08.06.2004","308,00","305,50","312,50","303,50","20,46K","0,74%"
"07.06.2004","305,75","307,25","309,00","298,50","23,23K","-0,49%"
"04.06.2004","307,25","310,50","311,25","305,50","14,16K","-0,81%"
"03.06.2004","309,75","317,25","322,75","307,50","18,09K","-4,32%"
"02.06.2004","323,75","333,00","333,00","320,75","13,54K","-2,04%"
"01.06.2004","330,50","314,75","331,75","314,50","13,54K","6,96%"
"28.05.2004","309,00","305,50","311,00","304,00","8,12K","0,16%"
"27.05.2004","308,50","314,25","314,25","304,00","11,16K","-3,14%"
"26.05.2004","318,50","316,25","320,75","313,50","8,68K","0,55%"
"25.05.2004","316,75","322,00","322,50","316,00","10,04K","-2,01%"
"24.05.2004","323,25","303,50","324,25","303,50","11,38K","5,46%"
"21.05.2004","306,50","316,00","316,25","305,50","8,63K","-3,99%"
"20.05.2004","319,25","321,75","323,00","316,25","8,07K","-0,23%"
"19.05.2004","320,00","310,25","321,25","306,00","8,10K","2,07%"
"18.05.2004","313,50","317,50","317,50","312,25","10,70K","-1,95%"
"17.05.2004","319,75","323,00","325,00","314,75","7,32K","-0,78%"
"14.05.2004","322,25","319,00","323,25","319,00","9,48K","1,74%"
"13.05.2004","316,75","319,50","320,50","314,50","9,79K","-3,06%"
"12.05.2004","326,75","319,75","328,25","318,00","28,90K","3,98%"
"11.05.2004","314,25","309,00","318,00","306,25","23,44K","0,24%"
"10.05.2004","313,50","318,00","318,00","305,00","21,32K","-1,18%"
"07.05.2004","317,25","319,75","323,50","315,75","18,98K","-0,08%"
"06.05.2004","317,50","315,50","323,25","315,50","18,82K","1,84%"
"05.05.2004","311,75","309,00","315,50","306,00","16,94K","0,32%"
"04.05.2004","310,75","302,00","311,75","301,25","17,93K","4,10%"
"30.04.2004","298,50","295,25","299,25","295,25","18,22K","2,75%"
"29.04.2004","290,50","289,50","293,25","288,25","9,70K","-1,44%"
"28.04.2004","294,75","291,00","296,00","287,50","17,36K","1,20%"
"27.04.2004","291,25","285,75","292,00","285,75","11,32K","1,92%"
"26.04.2004","285,75","283,75","286,00","281,25","6,20K","2,42%"
"23.04.2004","279,00","285,25","285,50","278,00","10,83K","-1,93%"
"22.04.2004","284,50","281,75","286,25","279,00","10,36K","1,16%"
"21.04.2004","281,25","283,75","284,25","278,00","10,62K","-1,23%"
"20.04.2004","284,75","287,25","287,75","282,25","10,33K","-2,48%"
"19.04.2004","292,00","287,75","293,00","287,50","6,00K","1,92%"
"16.04.2004","286,50","290,00","291,25","286,50","8,04K","-0,52%"
"15.04.2004","288,00","281,50","289,50","279,00","13,69K","3,04%"
"14.04.2004","279,50","279,75","281,50","276,50","16,88K","-0,89%"
"13.04.2004","282,00","281,50","282,75","280,50","10,16K","-0,27%"
"08.04.2004","282,75","281,00","288,75","280,00","23,14K","0,62%"
"07.04.2004","281,00","267,25","282,00","266,50","30,94K","5,54%"
"06.04.2004","266,25","260,50","268,00","259,50","17,28K","2,21%"
"05.04.2004","260,50","261,25","262,75","257,50","15,26K","0,87%"
"02.04.2004","258,25","263,00","264,50","255,50","18,90K","-4,00%"
"01.04.2004","269,00","273,00","273,00","266,25","14,06K","-0,74%"
"31.03.2004","271,00","274,50","280,00","265,50","13,15K","-1,28%"
"30.03.2004","274,50","268,25","276,25","268,25","11,05K","2,71%"
"29.03.2004","267,25","267,00","268,00","265,00","8,38K","-0,65%"
"26.03.2004","269,00","269,50","273,00","265,00","9,03K","-0,65%"
"25.03.2004","270,75","272,75","273,25","267,00","8,69K","-1,90%"
"24.03.2004","276,00","279,00","279,25","272,00","8,97K","-0,81%"
"23.03.2004","278,25","273,50","278,75","270,50","8,91K","2,58%"
"22.03.2004","271,25","275,00","275,00","270,75","8,34K","-1,90%"
"19.03.2004","276,50","278,50","280,50","275,00","9,49K","-1,07%"
"18.03.2004","279,50","280,25","281,50","275,50","13,60K","-0,45%"
"17.03.2004","280,75","273,25","281,75","272,25","12,49K","2,74%"
"16.03.2004","273,25","273,25","275,00","271,00","10,06K","-0,82%"
"15.03.2004","275,50","266,50","275,50","264,75","9,71K","5,56%"
"12.03.2004","261,00","272,25","275,00","259,50","11,21K","-4,48%"
"11.03.2004","273,25","271,25","276,00","269,25","22,99K","2,63%"
"10.03.2004","266,25","267,75","269,50","263,25","25,62K","-1,02%"
"09.03.2004","269,00","268,50","272,00","265,00","21,97K","-1,82%"
"08.03.2004","274,00","275,75","276,25","268,00","13,92K","-0,36%"
"05.03.2004","275,00","273,00","278,25","273,00","15,25K","0,36%"
"04.03.2004","274,00","268,00","274,50","267,25","16,93K","1,58%"
"03.03.2004","269,75","274,00","275,00","267,00","14,80K","-3,14%"
"02.03.2004","278,50","279,00","279,25","274,50","14,79K","1,64%"
"01.03.2004","274,00","273,25","276,75","269,50","13,69K","1,48%"
"27.02.2004","270,00","265,50","271,50","265,50","11,57K","1,41%"
"26.02.2004","266,25","266,25","268,75","263,75","14,29K","0,57%"
"25.02.2004","264,75","257,50","266,50","256,50","13,61K","3,12%"
"24.02.2004","256,75","257,00","260,00","256,00","7,11K","0,10%"
"23.02.2004","256,50","252,00","257,25","252,00","8,85K","2,40%"
"20.02.2004","250,50","258,75","260,00","250,50","5,45K","-3,09%"
"19.02.2004","258,50","258,50","260,00","257,25","7,58K","-0,39%"
"18.02.2004","259,50","262,00","262,00","258,25","3,34K","-0,19%"
"17.02.2004","260,00","257,00","260,50","256,25","2,44K","1,36%"
"16.02.2004","256,50","256,50","258,50","255,00","4,52K","-0,19%"
"13.02.2004","257,00","252,00","257,25","251,25","4,64K","1,18%"
"12.02.2004","254,00","250,50","256,75","250,00","29,22K","0,10%"
"11.02.2004","253,75","252,25","255,00","247,50","21,27K","1,40%"
"10.02.2004","250,25","248,50","254,25","248,00","22,05K","1,93%"
"09.02.2004","245,50","244,75","248,25","244,75","16,39K","0,61%"
"06.02.2004","244,00","248,25","251,25","244,00","13,01K","0,00%"
"05.02.2004","244,00","248,00","248,50","243,25","15,98K","-2,20%"
"04.02.2004","249,50","255,00","256,25","248,00","15,61K","-3,48%"
"03.02.2004","258,50","258,50","259,50","254,00","12,31K","1,77%"
"02.02.2004","254,00","251,50","257,50","247,00","13,87K","-0,10%"
"30.01.2004","254,25","256,50","257,75","251,00","18,40K","0,59%"
"29.01.2004","252,75","261,50","261,75","252,50","15,87K","-2,51%"
"28.01.2004","259,25","265,00","270,00","258,50","18,93K","-3,62%"
"27.01.2004","269,00","269,25","271,00","266,75","12,74K","0,19%"
"26.01.2004","268,50","272,00","274,25","267,00","12,77K","-2,98%"
"23.01.2004","276,75","279,75","280,75","276,00","8,47K","1,93%"
"22.01.2004","271,50","281,25","283,25","270,00","16,48K","-2,34%"
"21.01.2004","278,00","280,50","281,00","275,25","9,05K","-0,09%"
"20.01.2004","278,25","275,00","279,75","275,00","12,74K","1,64%"
"19.01.2004","273,75","270,00","273,75","269,00","3,34K","2,43%"
"16.01.2004","267,25","263,00","267,25","258,75","8,98K","0,00%"
"15.01.2004","267,25","270,50","275,50","260,00","16,79K","-0,65%"
"14.01.2004","269,00","275,00","275,25","266,50","15,08K","-3,24%"
"13.01.2004","278,00","281,50","282,25","277,50","15,68K","-2,28%"
"12.01.2004","284,50","286,50","289,25","278,50","28,45K","-0,70%"
"09.01.2004","286,50","288,00","288,25","285,00","29,82K","2,69%"
"08.01.2004","279,00","281,75","282,50","277,00","23,98K","-0,36%"
"07.01.2004","280,00","281,00","284,50","274,00","20,14K","-1,41%"
"06.01.2004","284,00","278,25","287,75","278,25","25,83K","1,79%"
"05.01.2004","279,00","267,75","280,00","267,75","15,93K","4,30%"
"02.01.2004","267,50","265,25","271,75","265,25","2,75K","-0,09%"
"31.12.2003","267,75","268,50","268,75","267,25","1,73K","-0,19%"
"30.12.2003","268,25","263,50","269,00","262,50","5,88K","2,19%"
"29.12.2003","262,50","261,75","263,50","258,75","5,35K","0,57%"
"24.12.2003","261,00","262,00","262,00","260,75","1,92K","0,97%"
"23.12.2003","258,50","260,25","261,50","256,25","3,93K","-1,34%"
"22.12.2003","262,00","270,50","270,50","261,25","4,55K","-3,76%"
"19.12.2003","272,25","275,50","276,75","272,00","7,79K","0,37%"
"18.12.2003","271,25","272,00","274,25","267,75","5,26K","-0,18%"
"17.12.2003","271,75","267,25","272,50","266,50","8,33K","1,49%"
"16.12.2003","267,75","269,25","271,25","264,50","8,65K","-0,19%"
"15.12.2003","268,25","262,50","269,00","260,75","8,26K","1,90%"
"12.12.2003","263,25","260,00","265,00","259,75","2,06K","0,77%"
"11.12.2003","261,25","262,75","263,00","257,75","18,20K","-0,85%"
"10.12.2003","263,50","264,50","269,25","259,75","25,41K","-0,47%"
"09.12.2003","264,75","265,75","266,50","261,25","23,30K","-0,47%"
"08.12.2003","266,00","255,50","266,50","255,50","12,98K","4,11%"
"05.12.2003","255,50","258,25","259,50","255,00","13,97K","-1,45%"
"04.12.2003","259,25","255,50","261,00","249,25","16,60K","2,67%"
"03.12.2003","252,50","253,50","254,75","251,00","13,77K","-0,69%"
"02.12.2003","254,25","246,25","255,00","246,25","12,58K","3,56%"
"01.12.2003","245,50","248,25","248,50","242,25","11,87K","-1,70%"
"28.11.2003","249,75","251,50","252,25","249,50","4,80K","-0,40%"
"27.11.2003","250,75","249,75","251,25","249,50","6,04K","1,01%"
"26.11.2003","248,25","248,25","249,50","246,25","11,24K","1,95%"
"25.11.2003","243,50","247,25","248,50","241,00","13,18K","-2,60%"
"24.11.2003","250,00","257,50","257,50","248,50","11,99K","-3,66%"
"21.11.2003","259,50","264,00","265,50","259,50","7,40K","-1,52%"
"20.11.2003","263,50","263,00","269,25","262,50","11,69K","-0,94%"
"19.11.2003","266,00","266,00","270,00","264,50","13,33K","1,62%"
"18.11.2003","261,75","257,25","261,75","254,50","8,02K","0,96%"
"17.11.2003","259,25","260,00","261,00","258,00","11,72K","-1,43%"
"14.11.2003","263,00","257,25","263,00","257,25","11,41K","2,73%"
"13.11.2003","256,00","255,75","256,00","252,00","5,52K","0,39%"
"12.11.2003","255,00","256,00","258,75","252,75","18,66K","-0,29%"
"11.11.2003","255,75","254,50","256,25","252,75","17,66K","0,69%"
"10.11.2003","254,00","257,50","258,50","252,00","18,96K","-0,10%"
"07.11.2003","254,25","250,75","255,00","250,25","17,82K","1,60%"
"06.11.2003","250,25","249,25","255,00","248,00","19,15K","0,30%"
"05.11.2003","249,50","239,75","252,00","238,25","15,55K","4,28%"
"04.11.2003","239,25","241,25","241,25","237,50","11,77K","-1,34%"
"03.11.2003","242,50","244,00","246,75","240,75","12,52K","0,00%"
"31.10.2003","242,50","238,50","243,00","238,25","15,11K","1,78%"
"30.10.2003","238,25","239,75","240,00","235,00","15,89K","-2,16%"
"29.10.2003","243,50","243,75","248,00","240,75","16,78K","-0,10%"
"28.10.2003","243,75","245,75","245,75","242,50","10,34K","-1,42%"
"27.10.2003","247,25","249,75","250,75","243,00","11,69K","-1,79%"
"24.10.2003","251,75","254,00","255,00","251,00","8,85K","0,70%"
"23.10.2003","250,00","250,00","251,25","245,00","8,05K","-0,50%"
"22.10.2003","251,25","251,50","254,50","246,50","19,18K","-0,30%"
"21.10.2003","252,00","248,75","252,75","247,25","14,86K","0,80%"
"20.10.2003","250,00","246,00","250,25","241,50","13,19K","1,52%"
"17.10.2003","246,25","259,00","259,00","244,00","13,80K","-5,20%"
"16.10.2003","259,75","260,75","262,75","257,25","11,03K","-0,57%"
"15.10.2003","261,25","259,50","261,75","258,00","12,66K","-1,04%"
"14.10.2003","264,00","260,00","265,00","258,25","13,58K","0,67%"
"13.10.2003","262,25","264,25","264,50","259,00","14,63K","-4,38%"
"10.10.2003","274,25","256,50","273,75","256,50","30,39K","6,71%"
"09.10.2003","257,00","244,50","260,00","242,25","36,00K","5,11%"
"08.10.2003","244,50","245,50","245,75","240,75","16,89K","-0,20%"
"07.10.2003","245,00","245,25","246,00","242,25","20,34K","0,00%"
"06.10.2003","245,00","246,50","248,50","244,75","12,35K","0,62%"
"03.10.2003","243,50","242,00","244,00","238,00","15,51K","0,72%"
"02.10.2003","241,75","239,75","245,00","239,25","16,84K","2,11%"
"01.10.2003","236,75","236,00","238,75","235,50","13,96K","0,21%"
"30.09.2003","236,25","230,25","237,00","230,00","12,81K","1,83%"
"29.09.2003","232,00","229,00","232,50","229,00","10,39K","2,43%"
"26.09.2003","226,50","227,75","228,75","225,25","10,22K","-0,33%"
"25.09.2003","227,25","229,75","231,50","226,25","16,76K","-0,55%"
"24.09.2003","228,50","217,50","229,50","215,25","17,58K","4,58%"
"23.09.2003","218,50","216,75","220,25","216,25","11,70K","0,81%"
"22.09.2003","216,75","213,75","217,00","212,00","11,74K","1,64%"
"19.09.2003","213,25","216,75","218,50","212,75","6,87K","-1,61%"
"18.09.2003","216,75","218,50","218,50","214,00","8,75K","-1,03%"
"17.09.2003","219,00","224,00","224,50","218,25","11,56K","-1,79%"
"16.09.2003","223,00","227,75","227,75","222,00","7,80K","-1,55%"
"15.09.2003","226,50","227,25","228,50","225,50","3,80K","0,22%"
"12.09.2003","226,00","232,50","233,75","224,75","12,03K","-2,38%"
"11.09.2003","231,50","234,50","235,75","230,00","25,45K","-0,75%"
"10.09.2003","233,25","232,75","234,50","229,50","17,34K","0,21%"
"09.09.2003","232,75","233,00","233,75","230,50","11,86K","-0,75%"
"08.09.2003","234,50","232,50","235,50","231,50","12,07K","1,08%"
"05.09.2003","232,00","233,00","234,00","230,75","11,47K","0,11%"
"04.09.2003","231,75","237,25","239,00","229,00","16,04K","-2,22%"
"03.09.2003","237,00","238,50","240,00","234,50","15,57K","-0,63%"
"02.09.2003","238,50","247,75","250,00","235,00","17,85K","-4,02%"
"01.09.2003","248,50","252,00","253,25","247,50","8,35K","-2,36%"
"29.08.2003","254,50","251,50","255,25","251,50","8,44K","1,60%"
"28.08.2003","250,50","249,00","251,25","248,25","8,09K","0,80%"
"27.08.2003","248,50","254,25","254,25","247,75","14,29K","-1,58%"
"26.08.2003","252,50","252,50","254,75","252,25","5,21K","-1,08%"
"22.08.2003","255,25","253,25","255,75","253,00","5,36K","1,09%"
"21.08.2003","252,50","247,50","254,00","247,00","6,67K","3,06%"
"20.08.2003","245,00","243,00","247,25","241,75","6,63K","0,62%"
"19.08.2003","243,50","246,00","247,25","242,00","7,62K","-1,22%"
"18.08.2003","246,50","249,50","250,00","246,00","4,10K","0,61%"
"15.08.2003","245,00","250,00","251,75","244,50","4,76K","0,62%"
"14.08.2003","243,50","246,25","248,75","242,00","13,93K","-2,11%"
"13.08.2003","248,75","254,50","255,25","248,75","8,49K","-1,68%"
"12.08.2003","253,00","252,75","254,50","247,25","19,67K","-0,39%"
"11.08.2003","254,00","254,00","254,75","252,50","19,32K","0,20%"
"08.08.2003","253,50","257,75","261,50","253,25","15,90K","-1,07%"
"07.08.2003","256,25","253,50","258,50","253,50","9,95K","1,28%"
"06.08.2003","253,00","257,75","260,50","251,50","12,70K","-1,65%"
"05.08.2003","257,25","251,25","258,25","251,25","16,50K","0,49%"
"04.08.2003","256,00","252,75","256,50","251,75","9,73K","1,19%"
"01.08.2003","253,00","243,00","255,75","243,00","11,39K","3,79%"
"31.07.2003","243,75","237,75","244,75","237,75","9,81K","2,52%"
"30.07.2003","237,75","236,50","240,75","235,50","8,07K","0,21%"
"29.07.2003","237,25","235,00","238,00","233,75","6,00K","1,39%"
"28.07.2003","234,00","235,00","236,00","232,50","4,05K","-1,27%"
"25.07.2003","237,00","235,25","238,00","233,75","7,18K","1,39%"
"24.07.2003","233,75","233,50","236,00","232,00","6,91K","0,86%"
"23.07.2003","231,75","233,75","234,50","231,00","7,31K","-0,86%"
"22.07.2003","233,75","239,00","240,00","232,50","7,46K","-2,09%"
"21.07.2003","238,75","243,50","243,50","238,75","5,62K","-1,65%"
"18.07.2003","242,75","242,25","244,00","239,00","4,53K","0,52%"
"17.07.2003","241,50","240,00","243,00","240,00","4,15K","0,63%"
"16.07.2003","240,00","244,25","247,00","238,75","12,08K","-1,64%"
"15.07.2003","244,00","242,50","247,00","242,00","6,84K","0,51%"
"14.07.2003","242,75","243,25","247,00","242,00","6,50K","-1,92%"
"11.07.2003","247,50","242,50","247,75","240,75","7,90K","1,12%"
"10.07.2003","244,75","242,00","247,00","240,00","18,15K","2,84%"
"09.07.2003","238,00","233,75","240,00","233,50","22,45K","2,15%"
"08.07.2003","233,00","232,00","233,75","228,75","19,28K","0,00%"
"07.07.2003","233,00","233,50","234,50","231,25","11,18K","0,43%"
"04.07.2003","232,00","234,75","235,75","231,00","10,33K","-3,13%"
"03.07.2003","239,50","235,00","239,75","234,00","11,54K","1,91%"
"02.07.2003","235,00","237,50","238,75","233,00","11,68K","0,53%"
"01.07.2003","233,75","235,00","237,25","233,00","12,76K","-0,95%"
"30.06.2003","236,00","227,50","236,50","227,50","7,79K","3,51%"
"27.06.2003","228,00","228,75","229,25","226,75","11,03K","-0,33%"
"26.06.2003","228,75","232,25","233,00","228,25","6,22K","-1,72%"
"25.06.2003","232,75","225,75","234,00","223,75","8,91K","3,10%"
"24.06.2003","225,75","227,25","227,25","225,25","4,50K","-1,10%"
"23.06.2003","228,25","229,25","230,75","225,00","6,36K","0,55%"
"20.06.2003","227,00","222,75","229,75","222,50","7,87K","2,71%"
"19.06.2003","221,00","221,75","222,50","218,50","7,03K","0,23%"
"18.06.2003","220,50","224,00","225,25","219,75","5,78K","-2,11%"
"17.06.2003","225,25","225,25","226,75","222,50","7,70K","0,45%"
"16.06.2003","224,25","223,00","226,75","223,00","4,69K","1,24%"
"13.06.2003","221,50","230,75","230,75","220,25","6,02K","-4,32%"
"12.06.2003","231,50","237,75","237,75","229,00","26,42K","-2,53%"
"11.06.2003","237,50","234,50","238,50","233,50","18,74K","1,50%"
"10.06.2003","234,00","234,75","234,75","231,25","14,20K","-1,78%"
"09.06.2003","238,25","235,25","238,50","230,50","15,75K","2,25%"
"06.06.2003","233,00","232,25","235,00","231,75","11,18K","0,76%"
"05.06.2003","231,25","225,75","231,25","223,75","10,04K","2,10%"
"04.06.2003","226,50","230,25","233,75","225,00","23,13K","-1,63%"
"03.06.2003","230,25","230,75","230,75","227,50","15,95K","-0,22%"
"02.06.2003","230,75","224,75","232,25","223,00","16,92K","4,29%"
"30.05.2003","221,25","221,25","223,00","219,50","11,26K","0,00%"
"29.05.2003","221,25","216,00","221,75","213,00","11,38K","1,61%"
"28.05.2003","217,75","221,75","222,00","217,75","7,86K","-0,23%"
